id,payment_attempt_id,authorized_at,amount_cents,status
82c67b44-3cc5-4221-9896-cb57e66ae0b7,89b22514-c94d-4d5f-9b7a-75ac0e839446,2026-05-12T06:28:48,500,approved
7f112b35-58e8-43a7-9645-bbec7b2b89a5,942a70cc-08d7-4a84-b517-4f6e902e7e7d,2026-03-09T00:51:04,5100,approved
a7553f4f-f928-4d08-a544-512755f3137d,500d3d31-f76b-416d-8c8b-b7a713e23356,2026-03-03T23:12:41,600,approved
12002731-7df2-4084-b5aa-dc11e70c4a6d,3b03cf3c-ba00-4c24-8f3b-8b3025199bdc,2026-03-18T15:05:11,4000,approved
032b7f62-4f34-4654-8aff-5ff007d556b6,61da9590-c7ee-4594-baac-71918b8040e8,2026-07-21T19:14:01,2900,approved
107213ef-1434-4ee2-8b4e-ad547410201a,193572d8-eb82-4ae3-b9bd-bb03da107cba,2026-06-16T15:28:57,2600,approved
1a273e53-9704-45be-bfc6-79762e25326d,389eb6c9-0196-4301-add1-c96051837bb7,2026-04-09T22:42:12,2700,approved
3d0a7e16-771f-4ab6-a9fb-2a7a27c2c585,8790bf1d-af5f-4c1a-99d5-c4257edd84a7,2026-06-07T16:32:56,600,approved
f9d87ebc-e81e-4880-a5ae-34f95a7540df,e4199c21-ef16-4245-a1a5-77c669569d3c,2026-06-08T09:23:52,4200,approved
facd1c3f-b873-417a-bd8d-236ee9172c9f,47b5b87b-903a-4b34-9334-2aa3f1237d36,2026-06-14T08:02:15,2400,approved
1be140e6-f2ef-4ffb-b0ef-72b4f7b36848,53d620dc-70ae-4485-9edf-24824fddadab,2026-08-07T21:52:46,4700,approved
f2613951-676e-4213-9db5-1a3eea70125c,273e3a00-bd84-4eb4-aba5-f4f29dc1df05,2026-07-25T14:29:13,2000,approved
883c52e8-9bcd-4fbf-ada4-ebc55895bf8f,1242c741-47db-4088-a5c4-99f312d29d18,2026-03-26T05:12:58,2000,approved
81f9ca0b-e781-4e73-b39e-ab64ceaf9912,6a3fe01b-119b-48e5-8e4c-41f565a02a4d,2026-05-27T22:18:37,2000,approved
5190cca5-0779-49bf-ad4c-e4cfee0069a6,e0b8c87a-2d0a-4559-b254-046df05d8358,2026-03-28T19:46:04,3800,approved
37b1464c-d122-48d1-a6de-0aba56430fdf,304c8e2c-d7b7-4c72-90b3-b01f3f7df59b,2026-07-23T11:27:23,3000,approved
8203a048-e130-4262-8598-ffdacb25a16c,d488fd48-f6af-4258-a42a-e4bbf948244f,2026-03-01T19:56:17,1100,approved
93b6348d-6d5e-44b6-b7a3-a5fdb3a554d2,12c97fb4-3727-4251-9e39-90fe762f9bbd,2026-07-17T12:01:32,0,approved
8893a80e-d1d6-452d-a70f-4ff4aed3abcc,429a982a-15b1-4368-99f9-1125f6bc626f,2026-04-02T11:35:44,2800,approved
a0dd7ebe-113a-40d9-9035-ae18d9c42c38,b3e70cae-8293-463c-ac31-09c3905601ae,2026-07-02T00:49:23,2600,approved
82b779ce-c417-468b-a719-12447337f8fa,14616ad8-c208-41c1-8494-4c6ad5dad824,2026-07-09T23:01:35,600,approved
b842088a-e919-474d-853f-a8063b7ea0c3,3b02b41f-66b8-4154-8604-a55a43f26d19,2026-07-30T12:49:51,4200,approved
a918a699-ada6-4313-9d08-cf7051b5ef46,c2a18eda-9ff9-4228-a1c2-4b5e87e4a643,2026-02-25T07:07:39,1200,approved
7c24390e-8eb2-4cf5-9e79-14f97c25400e,9e8e7164-5472-4396-a1fe-180029113c7a,2026-04-15T10:34:35,1100,approved
bc312734-8d4b-448e-82a3-967c5d2361c0,15847813-d99c-49c6-b4c6-19cec097ef73,2026-03-04T08:11:11,700,approved
78fb32bd-e3e9-4aa3-9a92-a2f32181da66,eeb74983-4e2e-4dcb-8ddb-492eebd294b3,2026-07-10T02:55:01,1200,approved
5a71c422-3a0e-4fef-be05-b37198fa3857,82a755aa-f6a4-4324-84d4-2c0f4c2194a0,2026-05-21T12:04:30,5400,approved
