id,shipment_id,attempted_at,outcome,attempt_number
1394e4fa-00de-4545-8507-e81afc8d5599,3e59914e-62e6-4c76-9c4e-0b68dc4ded3c,2026-05-17T22:29:22,delivered,1
0e9c96a1-ae8e-45eb-9122-d26bb85a9b5e,ec394f08-9d85-44f6-8268-a183aa37ae0e,2026-03-07T20:59:52,delivered,1
cd720969-612b-49c7-b5e1-55d403fed70d,0eafed5b-9185-450d-96e4-0406080ae9c9,2026-03-22T09:58:30,delivered,1
fac34b2b-9bd0-43e0-b052-8a2d9dca5538,232eeff4-fe79-430d-80ad-d2444f64127b,2026-07-28T17:42:27,delivered,1
5cfb6784-22d4-4232-ba16-f81eb282c4fb,0782dcd3-6a47-4fc9-bff3-a69448209086,2026-06-22T18:14:22,no_access,1
d07e7706-66da-45b6-a791-a25035650c82,0782dcd3-6a47-4fc9-bff3-a69448209086,2026-06-23T18:14:22,delivered,2
ab1361b1-b9da-4f43-8bd6-8c02cfb0a9f2,de30afe6-aee5-4210-9a9e-28912f5f7a9d,2026-06-11T14:12:04,delivered,1
4337b4a0-ec05-45cb-852a-ef58b37d4f39,9c372c67-5d27-4f49-a604-fb815b9cadec,2026-07-29T15:33:01,refused,1
aa79639c-597c-4f99-b52c-7653ba3cc697,9c372c67-5d27-4f49-a604-fb815b9cadec,2026-07-30T15:33:01,delivered,2
bb57ec37-d6ed-480e-acc7-17af1ecc721a,bbc3dc9d-df80-45df-9da3-c91e9e88421c,2026-03-30T03:50:38,delivered,1
bb8d0dcc-27a3-48b5-b486-d7a06da15969,b0c36243-385b-4e60-899d-cd42556c9514,2026-06-01T03:33:05,delivered,1
21ecccfb-fa04-4b8d-a6a4-15cb3205a39e,4d9549a5-212d-4aec-972c-f32844d08cb3,2026-04-03T14:00:17,delivered,1
1811f081-def8-4de3-8fd8-730ead64c704,aff6ee40-3722-4de9-a578-f2f9851ad94e,2026-03-07T08:40:54,delivered,1
5c7fa2e1-f8e6-484e-bc3e-8d9ac5aa466f,fdb06766-b423-4232-af51-7e6361811eb8,2026-04-07T19:21:05,delivered,1
6de9a4fa-965f-48f6-a1e6-9ec0b02053df,9ae90621-fcee-4735-b34d-6fe33ed7ae67,2026-07-04T21:16:46,no_access,1
779edfca-cc9b-4b47-9008-eb70c3862da5,9ae90621-fcee-4735-b34d-6fe33ed7ae67,2026-07-05T21:16:46,delivered,2
60b9f2ed-e090-4f00-9d17-1c69a3410745,d6e20d22-d603-42f1-a13a-2d01facc7358,2026-08-04T00:24:45,delivered,1
29cb5ad4-e8c5-4a56-8ca4-6a0730767d52,e487eb5f-4a1c-4565-afbd-ea5dd284e13c,2026-04-20T09:38:27,delivered,1
e82ad371-95ef-4b67-a6ba-00e6acc8a48f,bd16c497-ef98-49d3-903a-2ae60bae20ac,2026-05-26T15:22:13,delivered,1
221838b5-8d94-471f-9c41-28536cf316c5,c068cb30-3bdf-4c83-b234-e0255e624ae2,2026-03-03T15:39:10,delivered,1
5162bc39-d841-469c-b1dd-e910c38ee3df,a70ecf39-e330-468f-af69-33c2ab9ac069,2026-06-14T08:37:46,delivered,1
c0bb966b-b221-435e-9e65-4e523aac77d6,c2fe7d01-fd75-433e-a474-94807ca5d91e,2026-07-14T12:00:04,delivered,1
789f0903-bbf2-4b17-8cf8-c552ae991f88,5e6eb2ea-65e8-41a2-85f5-ac12c2c1d070,2026-02-25T10:32:40,delivered,1
9fdb3a82-f6a7-499e-9c0a-6eaebdbca925,7637e032-db53-4047-bc7f-e036a9d6384f,2026-04-24T17:51:44,delivered,1
b9982bda-2aa9-4ecd-af1e-ce94197c46ac,22148f4a-d543-4903-beab-d931e08588bd,2026-05-14T04:09:42,delivered,1
264048f9-aa34-49b3-a3e9-cbdab2689915,7e7165c6-304f-4b74-8e44-24d78b2a0afb,2026-05-30T14:40:50,no_access,1
204d318f-69d2-4b89-b741-66d239714d2e,7e7165c6-304f-4b74-8e44-24d78b2a0afb,2026-05-31T14:40:50,delivered,2
607bcbe5-d875-4ad2-be2b-7de2b8b4dd5b,5cc2b8ec-4fbe-4bd2-93cf-d34589298f1d,2026-04-12T05:12:09,delivered,1
86573c2e-fee6-49b4-b69e-00c39cdc04bc,296b878e-4c33-41ec-ac5d-ba1bcd6256f6,2026-04-12T02:06:34,delivered,1
f37588b3-52a4-4f01-8a82-01c4e5837e1b,8d022f3b-5d9a-4b8f-9978-6b572d0c8c9b,2026-06-05T18:16:23,delivered,1
6daa06eb-c16c-427e-8bc7-e2d6fa4cc0d4,3752dccc-ec22-4f74-ac77-45623cc6333a,2026-08-11T06:32:16,delivered,1
3e96e826-8b48-486e-8477-3a9ac0fdc73a,5c3acd00-eab1-4a87-bd85-9d7861a06f39,2026-05-04T14:48:45,delivered,1
b551850f-700b-4ada-af64-7db8d70ba9cc,ecff6641-ad73-4574-9784-20af0b2ca887,2026-06-22T06:22:18,no_access,1
2d2d7f9a-777a-4a3f-b58c-2a19c499a7ed,ecff6641-ad73-4574-9784-20af0b2ca887,2026-06-23T06:22:18,delivered,2
bc6be865-96ec-427b-839a-90e5a66d3cec,7d8ab389-0f22-4008-a9fe-38192ddbc1ad,2026-07-20T03:20:37,delivered,1
26421ad8-bc06-444e-9ae9-49cb2d7d0891,04bf62a4-9a96-44c1-90f1-b1e522abd86d,2026-06-05T00:53:51,delivered,1
ed9ba117-2ace-4577-873b-228a7e5e227e,ebb8325a-a012-434e-b2a8-49091d63f2df,2026-07-18T08:27:09,delivered,1
11351870-ecc7-486d-b455-0a823c307f9d,4c9dcdb7-48d0-4ac6-bc73-7c77243dfe17,2026-03-15T01:32:03,delivered,1
3090e473-5b54-4514-92f9-3c911a9b7989,456ac74c-fac3-4348-bbe4-8705911e25d2,2026-05-16T21:07:08,delivered,1
c5883609-844b-451d-b32d-74ccd076a9c6,52fa26c4-806c-431a-be3f-52c21f148c57,2026-03-22T04:49:04,delivered,1
fb298e3d-d380-4e3d-a355-30bb98265a01,c6c8ea5c-5287-40f9-8283-92b18321ddc7,2026-05-27T18:27:39,delivered,1
824b6253-933f-4542-a8c3-06e9f6082306,bec99671-96da-4e99-bf34-c84308eccf4d,2026-05-18T10:33:06,delivered,1
9a86de7b-3d56-4695-b15f-4e350326fcb4,c0ff5a31-45fa-4e5e-ac4f-abfba27a8ddd,2026-04-27T17:36:47,delivered,1
813e3e3b-065a-4cd8-bb6e-3b3f1fc92c35,1356c050-43f1-4fc2-8e7f-95d2311e2566,2026-05-21T03:23:33,delivered,1
55b99558-ae29-4b9c-8a9f-d43642977ecc,504312de-06b3-429d-a3ef-f6cae965a1ae,2026-08-16T13:28:22,delivered,1
7ad27710-be35-4167-aba4-acd04ff2c554,194ca19c-e0e2-4474-8ad1-505f33fd466e,2026-04-26T13:06:25,refused,1
0ea8803f-811c-47cd-b128-c18d221db28d,194ca19c-e0e2-4474-8ad1-505f33fd466e,2026-04-27T13:06:25,delivered,2
6457fcae-89ef-4de8-af32-d6bacba8a868,b34a96fd-588c-4766-8e4a-67b12a63e930,2026-03-11T09:43:06,delivered,1
