id,gift_card_id,transaction_type,amount_cents,related_checkout_id,occurred_at
d1a9e322-1bd6-4942-a85e-9b94fb871956,8a264cfe-b166-4ae7-ba4c-34733500e3db,issue,1000,,2026-07-15T16:49:25
e7bd8bc9-a3cd-4895-9c5b-4779bdd9e9ce,8a264cfe-b166-4ae7-ba4c-34733500e3db,redeem,-795,6e8a55d7-3cd0-4a85-9534-790f889f76ea,2026-07-29T05:00:19
4486b71d-3379-4b61-97ed-1835696e4d83,6ad4b905-b689-4b48-b8fd-238e381fa25b,issue,1000,,2026-05-19T16:49:25
ac49cdb7-63d1-4125-9415-925f18082161,6ad4b905-b689-4b48-b8fd-238e381fa25b,redeem,-637,2b2b234c-91d7-41a7-b6f7-9d27f8021705,2026-03-13T09:15:30
a19ceb2c-82f6-43a2-94ae-ef9becbd936b,341d1729-30d0-48fb-af0f-a1d2373a5829,issue,10000,,2025-07-12T16:49:25
ba9b86db-8e3a-471d-a5ee-309924477a6d,341d1729-30d0-48fb-af0f-a1d2373a5829,redeem,-6048,f41c0386-5952-43b8-ad5c-3a317d992a0b,2026-03-03T07:11:25
74ae66bd-0d82-4b54-8d72-dc82157d2a9f,746abf86-131a-4821-94aa-345b89985ac4,issue,2500,,2026-04-23T16:49:25
24b6e997-687c-46a7-9088-6dd640bfbcf0,746abf86-131a-4821-94aa-345b89985ac4,redeem,-847,ff975f45-0642-4955-b4e3-591efb9ec864,2026-06-09T13:31:47
3cc2200c-affa-4b6f-a1eb-72798d02e341,8f7100b7-6f3e-4f80-b270-ce06730142bb,issue,5000,,2026-04-28T16:49:25
27d5eccb-dc35-4df7-b6e8-4c7e5754676c,8f7100b7-6f3e-4f80-b270-ce06730142bb,redeem,-1860,0e1b7071-6f6c-44fb-8f7a-6e73da639393,2026-03-14T12:32:06
12449209-812f-460b-9b03-c9ad34ffea0a,19b1dc63-15f7-489f-a362-b7009dd07d6f,issue,2500,,2025-10-15T16:49:25
ada62d09-7665-4c70-875b-b0436f34bef8,19b1dc63-15f7-489f-a362-b7009dd07d6f,redeem,-532,643cdcac-c4c3-46d3-904c-4a44aa24481b,2026-03-09T00:13:05
dc56304d-fcdd-487f-9d24-3511b9cc5133,f868e9c9-519f-4082-888d-a27198caf75b,issue,5000,,2025-08-27T16:49:25
88a070fe-d6ef-4fdd-b9a8-92bd9ee67172,f868e9c9-519f-4082-888d-a27198caf75b,redeem,-310,d6f568e5-f94b-42e6-a94f-4b550be76db6,2026-06-20T14:30:30
96039d65-8308-4376-9801-dc3943cf6ed1,d6842c06-60bf-4717-9fbf-b0a9af3e74dd,issue,2500,,2026-05-13T16:49:25
b62443e5-959e-4776-afec-4cc136f7e2b9,d6842c06-60bf-4717-9fbf-b0a9af3e74dd,redeem,-1247,9f30001e-546c-4445-b1fd-6c8718388ef0,2026-03-04T08:08:56
b4205e0a-4934-4d25-8d1b-729e55047ed4,efdfb39c-deee-436a-b23b-816243d3a61f,issue,5000,,2025-05-16T16:49:25
ef9aee94-ef0c-4f9b-8b32-5e04e0962264,efdfb39c-deee-436a-b23b-816243d3a61f,redeem,-4852,6e1ad76b-7283-4c87-ac18-ed95d26eb3c9,2026-05-26T23:04:14
c8ed7fa8-5c45-4faa-9d69-2b1f90702edc,ac2ba871-9d0e-4678-809b-10dc17cdd1b8,issue,1000,,2025-12-15T16:49:25
aada5d24-09d2-4255-87c8-357c608f2e66,ac2ba871-9d0e-4678-809b-10dc17cdd1b8,redeem,-937,671b6a01-0a22-4dda-b767-60b2cde9de39,2026-06-11T07:25:47
823b87e9-b8e7-4a46-8c8c-46651418cd6f,bf701019-f672-4638-a55a-09a4de8ff670,issue,2500,,2026-05-31T16:49:25
1f882e65-f106-4867-8650-b6683b08653c,bf701019-f672-4638-a55a-09a4de8ff670,redeem,-1273,d18393e9-fe4a-4487-8c7a-d52deea7f528,2026-08-03T23:50:07
9db9561a-897f-49c3-a21e-0e685f99b78e,a5e9012e-12fb-45fc-85a0-b89f4e9bfe84,issue,10000,,2026-01-21T16:49:25
817eb016-fcc2-4845-ba9f-1edf324d8265,a5e9012e-12fb-45fc-85a0-b89f4e9bfe84,redeem,-2806,8cd00b1e-a4bc-4d3f-beea-787da58dbb88,2026-04-19T12:36:00
2ae95331-374c-4626-a262-ba77281ce577,1e2349a4-4028-4a4e-8947-876a55dca3b2,issue,5000,,2025-08-20T16:49:25
74adbe5a-f216-4a71-80e8-1a83155fb068,1e2349a4-4028-4a4e-8947-876a55dca3b2,redeem,-1589,a93c2669-9c6a-44d9-85ba-3f669fc56a86,2026-04-07T05:28:40
fa899a91-59ad-4d91-9064-681f41ae2e6c,1e2349a4-4028-4a4e-8947-876a55dca3b2,refund_credit,327,,2026-01-10T16:49:25
9371985d-8516-4b11-9342-971779decf2a,dcd2ac04-fe28-4a21-be4c-fccb8b506a01,issue,2500,,2026-05-04T16:49:25
ff1cece4-4ece-42b7-bcf1-711cd5c1e2a4,dcd2ac04-fe28-4a21-be4c-fccb8b506a01,redeem,-1667,27571885-ec10-4b63-9ef6-019a3b9a15d1,2026-05-22T02:09:14
3d742b47-768c-4576-a3c1-7d46c6f439dc,dcd2ac04-fe28-4a21-be4c-fccb8b506a01,refund_credit,380,,2027-02-11T16:49:25
34ed5812-965f-4e84-a7c8-cd4b92b81ab7,3732ee59-0db3-475e-945f-4174f481370e,issue,10000,,2026-07-29T16:49:25
255ab397-7d7a-4519-b2f4-36abe468ede4,3732ee59-0db3-475e-945f-4174f481370e,redeem,-9935,4c6f812a-9e6c-4051-bb58-de0c8d48b36d,2026-06-19T13:12:03
1060b0b8-9475-489f-a708-1f917762dda7,cd9e8ee6-3ee2-4c3e-8041-b5e450a10b52,issue,5000,,2026-06-26T16:49:25
9ca17d7c-c4aa-46bd-848b-8ffadc17a842,cd9e8ee6-3ee2-4c3e-8041-b5e450a10b52,redeem,-1700,1c30efa3-8720-49da-955b-6622c37438fa,2026-05-27T13:47:55
8a3e8866-5560-4775-87eb-1be5d6d5d77d,63da8265-2ba8-4c3f-a7e3-a0ad88e9dc2f,issue,2500,,2026-07-26T16:49:25
93525c5b-e9a7-4660-897a-cc3137b5a161,63da8265-2ba8-4c3f-a7e3-a0ad88e9dc2f,redeem,-2177,0070167a-89d9-4c8a-bd82-56468671d135,2026-04-12T16:05:53
72db4c9c-0524-407e-b357-8bb6aee2facc,5a8b5e54-e916-47e0-8b76-272d90c94ff0,issue,2500,,2026-07-15T16:49:25
04c56707-3750-48d6-ba37-ee16d63140e7,5a8b5e54-e916-47e0-8b76-272d90c94ff0,redeem,-1226,dba99e5b-db40-4d92-80c5-25c6a9782915,2026-02-24T22:41:57
1fb021f5-4145-4fb1-8596-aeda68bdf14b,a9d9aa1a-ef1f-43de-8a80-bcc9d7e1e7a6,issue,1000,,2026-08-07T16:49:25
939df024-316b-4030-8904-914840b64c22,a9d9aa1a-ef1f-43de-8a80-bcc9d7e1e7a6,redeem,-458,c5145d70-a44c-42f6-8c57-84ff07b390a0,2026-08-08T22:03:09
729357bc-9356-4038-b536-c0ec6493760d,a99f639d-e738-4fcb-b97e-738d19968485,issue,2500,,2025-08-24T16:49:25
