id,code,initial_balance_cents,current_balance_cents,purchased_by_customer_id,issued_at,expires_at,status
8a264cfe-b166-4ae7-ba4c-34733500e3db,GC-YBZTA3CT28,1000,205,359c05d0-e19d-463d-b3b4-43a0b4a3810f,2026-07-15T16:49:25,2028-07-14T16:49:25,active
6ad4b905-b689-4b48-b8fd-238e381fa25b,GC-FW6SWVOSQW,1000,363,dec2b1be-3447-4044-b4e3-17848dfd390e,2026-05-19T16:49:25,2028-05-18T16:49:25,active
341d1729-30d0-48fb-af0f-a1d2373a5829,GC-41G1CA7466,10000,3952,b60e68c2-1b3c-4a8b-a056-a39fb4e6a320,2025-07-12T16:49:25,2027-07-12T16:49:25,active
746abf86-131a-4821-94aa-345b89985ac4,GC-XWMYWFZGT1,2500,1653,45233069-2809-4274-b243-98792794b3e9,2026-04-23T16:49:25,2028-04-22T16:49:25,active
8f7100b7-6f3e-4f80-b270-ce06730142bb,GC-ZE5SISBT2E,5000,3140,a1a72036-c041-4a92-a719-9bbf0e21d53b,2026-04-28T16:49:25,2028-04-27T16:49:25,active
19b1dc63-15f7-489f-a362-b7009dd07d6f,GC-QS67UP22G9,2500,1968,,2025-10-15T16:49:25,2027-10-15T16:49:25,active
f868e9c9-519f-4082-888d-a27198caf75b,GC-MSZHVUVV7Y,5000,4690,e6e0c2ef-00b6-4d38-a129-32d4aa4e795d,2025-08-27T16:49:25,2027-08-27T16:49:25,active
d6842c06-60bf-4717-9fbf-b0a9af3e74dd,GC-W4W1TYQS4Z,2500,1253,b2263d08-d05d-4240-a470-6fe31527b9d2,2026-05-13T16:49:25,2028-05-12T16:49:25,active
efdfb39c-deee-436a-b23b-816243d3a61f,GC-3ZF9FDI2IF,5000,148,e2141773-bfb8-4698-a4da-2be4540c14a5,2025-05-16T16:49:25,2027-05-16T16:49:25,active
ac2ba871-9d0e-4678-809b-10dc17cdd1b8,GC-QFE0XHYV7T,1000,63,f459a5e8-b280-49fd-904a-3cd3746f4f16,2025-12-15T16:49:25,2027-12-15T16:49:25,active
bf701019-f672-4638-a55a-09a4de8ff670,GC-AVUVW69CVA,2500,1227,e2141773-bfb8-4698-a4da-2be4540c14a5,2026-05-31T16:49:25,2028-05-30T16:49:25,active
a5e9012e-12fb-45fc-85a0-b89f4e9bfe84,GC-M6TH6SZEC1,10000,7194,7902cccb-bb75-45ac-92b3-688e65d231bb,2026-01-21T16:49:25,2028-01-21T16:49:25,active
1e2349a4-4028-4a4e-8947-876a55dca3b2,GC-EGQ336XDLJ,5000,3738,,2025-08-20T16:49:25,2027-08-20T16:49:25,active
dcd2ac04-fe28-4a21-be4c-fccb8b506a01,GC-TH5T97DI7M,2500,1213,7863e37d-24c8-4e18-8730-ea7e2a65606d,2026-05-04T16:49:25,2028-05-03T16:49:25,active
3732ee59-0db3-475e-945f-4174f481370e,GC-U51Q79QTL5,10000,65,0b7ba743-6819-4540-8542-b7fa14bd996d,2026-07-29T16:49:25,2028-07-28T16:49:25,active
cd9e8ee6-3ee2-4c3e-8041-b5e450a10b52,GC-MGX528QZ1L,5000,3300,4559b465-3dfc-40aa-84fe-31c153b4c0d8,2026-06-26T16:49:25,2028-06-25T16:49:25,active
63da8265-2ba8-4c3f-a7e3-a0ad88e9dc2f,GC-8EG847XVI4,2500,323,30380af9-7c90-4e56-9717-61064c5ca79c,2026-07-26T16:49:25,2028-07-25T16:49:25,active
5a8b5e54-e916-47e0-8b76-272d90c94ff0,GC-HTQ6IH8ME5,2500,1274,,2026-07-15T16:49:25,2028-07-14T16:49:25,active
a9d9aa1a-ef1f-43de-8a80-bcc9d7e1e7a6,GC-9Y2DSNTV2M,1000,542,099dd9b8-0a76-482f-92e1-f754d25d5aee,2026-08-07T16:49:25,2028-08-06T16:49:25,active
a99f639d-e738-4fcb-b97e-738d19968485,GC-JQE82PGPC1,2500,1546,6939d1d2-fba3-4888-8c53-6898bb73c26f,2025-08-24T16:49:25,2027-08-24T16:49:25,active
3e405b34-4a88-44ab-867c-0e68b7dbe9b0,GC-047C6PVU4U,1000,606,aef5051b-ee62-4974-994d-fbb200c5f89c,2025-05-30T16:49:25,2027-05-30T16:49:25,active
78920ab8-57c4-49e9-b4e6-bbf221937186,GC-OX7MHFO8AO,10000,2782,,2026-01-03T16:49:25,2028-01-03T16:49:25,active
f5605fe1-f685-44fd-99c8-987e617c334b,GC-XP34Q8YGX5,10000,1890,132425e2-d22d-43aa-a372-e3d9bfd77f8c,2025-06-02T16:49:25,2027-06-02T16:49:25,active
7bcbca9b-863d-446a-b3ff-83fe2bc27100,GC-35ARPWKBPK,2500,1532,,2025-06-27T16:49:25,2027-06-27T16:49:25,active
