id,warehouse_id,sku,quantity_on_hand,reorder_point,updated_at
b2c72969-ceeb-4321-b2b6-2cedc23e67df,WH-EAST,JAF-001,484,29,2026-08-16T16:03:10
58fb6ba8-84f5-4040-a89d-be8b06d1a3d5,WH-EAST,JAF-002,316,12,2026-08-16T16:03:10
4f83106c-b589-4665-b7cb-455d4e862910,WH-EAST,JAF-003,631,16,2026-08-16T16:03:10
ea5d8a93-f709-4d58-bd4d-c2bc4fb5d887,WH-EAST,JAF-004,444,18,2026-08-16T16:03:10
a60e75cf-e368-4406-a860-d8bafb280505,WH-EAST,JAF-005,105,12,2026-08-16T16:03:10
2b57fb7a-f720-4d78-99c7-6fbfc1f2503d,WH-EAST,BEV-001,220,23,2026-08-16T16:03:10
3ab109dd-090c-4cb6-b245-0c8309b5aafb,WH-EAST,BEV-002,525,24,2026-08-16T16:03:10
7c289c36-15a1-4cbb-b00c-246294ba1f76,WH-EAST,BEV-003,346,16,2026-08-16T16:03:10
b977f458-bcd7-48e1-ab47-53d6453fd9ce,WH-EAST,BEV-004,273,14,2026-08-16T16:03:10
ac9a7071-55a3-44e0-8b35-9a26663c6891,WH-EAST,BEV-005,673,30,2026-08-16T16:03:10
05f2b2f6-5cf6-4e59-9d68-d48c8db0020d,WH-WEST,JAF-001,505,27,2026-08-16T16:03:10
ed8c4288-0a40-4013-a65f-4c4c4c01aaf2,WH-WEST,JAF-002,113,16,2026-08-16T16:03:10
06c85e6f-6548-4299-a19b-f41aa3abbdb1,WH-WEST,JAF-003,325,17,2026-08-16T16:03:10
433d09bb-6ecf-47bc-8515-478174bf4d02,WH-WEST,JAF-004,346,10,2026-08-16T16:03:10
e1251490-ec88-4ef3-a928-40991e59e68a,WH-WEST,JAF-005,363,21,2026-08-16T16:03:10
0444890b-1b35-45c9-a3d5-4696d222f4db,WH-WEST,BEV-001,432,11,2026-08-16T16:03:10
643d00c8-6d98-4c8d-b055-dab2e352ecaa,WH-WEST,BEV-002,462,22,2026-08-16T16:03:10
c15e9d3e-5346-4909-b09f-4cef9ebdb3f5,WH-WEST,BEV-003,377,21,2026-08-16T16:03:10
352d7a60-db0d-49f8-8836-68fe87880ada,WH-WEST,BEV-004,405,26,2026-08-16T16:03:10
dd542ac4-e4ae-494b-b1cc-7762c5427829,WH-WEST,BEV-005,116,22,2026-08-16T16:03:10
