id,warehouse_id,sku,transaction_type,quantity_delta,adjustment_reason,occurred_at
108212e1-9e07-4761-90ab-9f9cc56f23d1,WH-EAST,JAF-001,receipt,27,,2026-04-30T10:36:47
cca6f813-6a38-4144-9d49-8f4c6c8527f7,WH-EAST,JAF-001,sale,-14,,2026-05-04T09:56:55
b60eb630-b0c0-49f0-8431-69d913c919e3,WH-EAST,JAF-001,sale,-13,,2026-05-08T20:57:26
1d67c487-2bd6-4f29-91a5-4f20da6f7075,WH-EAST,JAF-001,receipt,41,,2026-05-12T03:48:39
78431608-8ebc-4d27-8cdc-b31d61b3b246,WH-EAST,JAF-001,sale,-7,,2026-05-13T08:14:07
17deb06a-9889-42d8-9f91-d23848d21050,WH-EAST,JAF-001,receipt,39,,2026-05-17T14:02:04
8527ee11-0b1e-4a0f-a89c-aeafb508fd8d,WH-EAST,JAF-001,sale,-8,,2026-05-20T04:35:22
d2d919dc-01ef-4716-a5ea-60f5af7f8d74,WH-EAST,JAF-001,adjustment,-4,damaged_goods,2026-05-25T22:06:58
6597bcf0-7b5d-4131-83cd-5dbb5a46ee9a,WH-EAST,JAF-001,sale,-14,,2026-05-27T16:50:01
6cbfbec5-714c-4af3-b9ac-b9f93e51e14c,WH-EAST,JAF-001,receipt,22,,2026-05-31T06:15:03
c0bf8934-9786-45b0-b5f7-742aac655a2a,WH-EAST,JAF-001,receipt,23,,2026-06-02T12:24:08
57b5a8de-f18c-4d20-abdc-fc5c4edf10a8,WH-EAST,JAF-001,receipt,57,,2026-06-03T20:43:17
6d5b6e97-5994-45c9-b14a-d7222704a0f1,WH-EAST,JAF-001,sale,-13,,2026-06-05T13:24:58
5289291f-3639-4095-9292-524bdd9160f9,WH-EAST,JAF-001,sale,-5,,2026-06-09T09:17:30
a9565a12-c147-4854-aeee-4407a03c9abe,WH-EAST,JAF-001,receipt,99,,2026-06-15T03:57:41
0dd83586-a2f4-4ca8-99ca-1d7c57ff53ad,WH-EAST,JAF-001,sale,-8,,2026-06-17T05:52:58
7f9b40a4-a079-49cd-9be1-a42fd85b3e68,WH-EAST,JAF-001,receipt,99,,2026-06-20T23:25:00
355d8588-6aa5-4869-83a4-275e170799eb,WH-EAST,JAF-001,receipt,23,,2026-06-25T19:15:47
42f5c65b-b9c7-4a1c-987a-242bd11b7c44,WH-EAST,JAF-001,receipt,80,,2026-06-26T23:28:23
b19e48c1-8fe4-4f98-ad76-83c769375eb2,WH-EAST,JAF-001,sale,-14,,2026-06-29T14:35:44
0717d170-5536-4c6e-a6b0-da514d47477c,WH-EAST,JAF-001,receipt,51,,2026-07-03T03:12:21
e2fae549-9939-4372-9db3-02b5d42f1946,WH-EAST,JAF-001,receipt,26,,2026-07-05T11:36:04
