id,checkout_id,payment_method_id,attempted_at,status,amount_cents,decline_reason
89b22514-c94d-4d5f-9b7a-75ac0e839446,c2d9ed19-a5ec-4df6-9fce-7fa8090f0697,6e32ef2d-3307-4b12-b41c-abd2e7dc76ab,2026-05-12T06:28:40,captured,500,
942a70cc-08d7-4a84-b517-4f6e902e7e7d,3c11c131-881f-4e3c-bed6-5737f9643212,376ccae3-17ca-4a44-81ff-aa5e75d68dc0,2026-03-09T00:50:40,captured,5100,
500d3d31-f76b-416d-8c8b-b7a713e23356,4b859b06-ce1f-4e34-adb5-23f9f84cd4e4,,2026-03-03T23:12:15,captured,600,
3b03cf3c-ba00-4c24-8f3b-8b3025199bdc,bbc91b60-90c7-4f3e-a804-32ca876bd9ad,,2026-03-18T15:04:48,captured,4000,
61da9590-c7ee-4594-baac-71918b8040e8,16c125ab-cb8b-49ce-b0a4-3114588df68c,d4909f29-dd02-4ffc-9d02-a1fba386edd0,2026-07-21T19:13:55,captured,2900,
193572d8-eb82-4ae3-b9bd-bb03da107cba,304ef86c-a9e1-43a5-91f7-f3032bd2ca1f,,2026-06-16T15:28:35,captured,2600,
389eb6c9-0196-4301-add1-c96051837bb7,ea3d6a42-ee9e-4cea-970d-117e38786463,,2026-04-09T22:41:43,captured,2700,
8790bf1d-af5f-4c1a-99d5-c4257edd84a7,a6ccaa4f-ccfe-4b24-b073-a3d59a755b1d,dd87ca98-230f-407f-942b-3da7b72df58f,2026-06-07T16:32:52,captured,600,
e4199c21-ef16-4245-a1a5-77c669569d3c,a7eb73fd-e44e-4cf0-b320-985f6da24df8,a76f8fbb-d784-4d25-a7ca-11b95f26641d,2026-06-08T09:23:45,captured,4200,
47b5b87b-903a-4b34-9334-2aa3f1237d36,c46f2285-789e-4d4d-9611-7c23fa0a604c,91aab7ea-a1c2-4aaa-925d-2b2fe3d70cef,2026-06-14T08:01:53,captured,2400,
53d620dc-70ae-4485-9edf-24824fddadab,d2a9859e-eed1-41f8-902b-b5ed6b6d8147,38765934-b84c-41af-86dc-1528aca81dfb,2026-08-07T21:52:38,captured,4700,
273e3a00-bd84-4eb4-aba5-f4f29dc1df05,9ffc3e91-0b72-4e0a-a484-7a0f8b63ee0e,9142e2af-6844-42ac-9926-602d6e13bf45,2026-07-25T14:29:06,captured,2000,
1242c741-47db-4088-a5c4-99f312d29d18,0e5df425-c648-43a8-abde-b7df521ed814,3d5c97d1-16ed-4e55-a6a2-8a88cf3e1e89,2026-03-26T05:12:50,captured,2000,
6a3fe01b-119b-48e5-8e4c-41f565a02a4d,e757fc80-0354-4bd7-a6bb-9f7a66cdfca0,2c24b93e-3761-4851-b1fa-6b0843306b3d,2026-05-27T22:18:12,captured,2000,
e0b8c87a-2d0a-4559-b254-046df05d8358,c7a110d0-d260-4eed-a156-2e4c4e90e9bb,,2026-03-28T19:45:42,captured,3800,
304c8e2c-d7b7-4c72-90b3-b01f3f7df59b,8f8d7c25-f4eb-42f0-9012-61460c190e2d,,2026-07-23T11:27:19,captured,3000,
d488fd48-f6af-4258-a42a-e4bbf948244f,c9c307e7-73df-46a4-85fc-2fd5b2483a37,4e3c7a8e-973f-45bd-becb-549e047389fe,2026-03-01T19:56:08,captured,1100,
12c97fb4-3727-4251-9e39-90fe762f9bbd,ebb99bf1-db4b-4777-801f-038e0437da59,,2026-07-17T12:01:05,captured,0,
429a982a-15b1-4368-99f9-1125f6bc626f,b8138734-be83-48ce-884f-a6f37b7e598c,2bd0400b-fcd5-4d51-acd9-bca845478ec3,2026-04-02T11:35:15,captured,2800,
b3e70cae-8293-463c-ac31-09c3905601ae,69d47978-74a6-409f-8507-3c829dc5c98a,0bfadb88-8715-488a-8837-b50170cf3ce1,2026-07-02T00:49:11,captured,2600,
14616ad8-c208-41c1-8494-4c6ad5dad824,97fa50be-01b2-4a4f-9c47-0eeb3e21cd18,4060d906-d6fe-4d8f-8806-8505c6726247,2026-07-09T23:01:30,captured,600,
3b02b41f-66b8-4154-8604-a55a43f26d19,78cb0787-1720-471e-a05a-32c04f70132a,,2026-07-30T12:49:47,captured,4200,
c2a18eda-9ff9-4228-a1c2-4b5e87e4a643,71ac8b68-d6ef-432c-ba8e-cfdc4ebb38b6,8ea6fa95-0698-41ac-a248-c119d7beb202,2026-02-25T07:07:10,captured,1200,
9e8e7164-5472-4396-a1fe-180029113c7a,b4ef3add-ced2-4795-9146-aef39ad48a81,,2026-04-15T10:34:08,captured,1100,
15847813-d99c-49c6-b4c6-19cec097ef73,9f30001e-546c-4445-b1fd-6c8718388ef0,b64770ae-bda2-404c-a5e8-1ae6c982629e,2026-03-04T08:10:56,captured,700,
eeb74983-4e2e-4dcb-8ddb-492eebd294b3,475a8ad6-d8aa-4a17-8047-dfbdb3a25822,6b6c26c9-cdfb-4c4d-ac16-521f6d39e603,2026-07-10T02:54:37,captured,1200,
82a755aa-f6a4-4324-84d4-2c0f4c2194a0,ac032b7a-4f23-450e-a4d1-f030ac384f68,8aab89b0-290c-438f-8106-2e783bd00d50,2026-05-21T12:04:00,captured,5400,
d579c61c-37b6-4174-ae64-c2e1416e2833,d464285a-9f24-4852-b084-eef52e281cc2,,2026-02-27T10:33:25,captured,3300,
8b38da8e-9b0d-496c-b696-4f491bd6e068,c57a63d8-6a8a-4d78-82e3-eb7e426c34b8,301be7a1-6caa-4e81-a1c6-7380f7255707,2026-06-04T07:10:55,captured,1700,
10d6b29a-f28e-497f-8f45-39beac67e576,ff975f45-0642-4955-b4e3-591efb9ec864,,2026-06-09T13:33:47,captured,2400,
5d9c22e6-ef85-4bf7-b3a9-7e1b3719604f,5b6dcc44-3266-4809-9242-b528f04cd566,c4b0ff0e-125a-4587-96b5-057a8526c6d2,2026-07-09T09:23:29,captured,4000,
e127f4d9-ebff-4e3a-952c-85b148f9e041,c69dbb95-6574-4632-91a9-87ebcdca6894,,2026-07-02T16:39:42,captured,4000,
325295e7-2a94-42e1-8169-31a3d9a426f2,abb786fa-90b0-4ac2-8ccc-29f2b67381ef,62ed7f34-3e10-40ce-ad9a-212e449ffbc7,2026-02-20T21:58:37,captured,1200,
8f9d6dc2-2c87-42ff-a438-633a36dc8a45,f41c0386-5952-43b8-ad5c-3a317d992a0b,,2026-03-03T07:14:25,captured,2400,
c3f21ec3-a4ba-40bd-9138-2b57154a96a8,63b34c6c-5627-45ca-9755-20ec5b186896,21881b84-4053-4cb4-95a3-3179a987c092,2026-04-19T22:19:20,captured,400,
c8f9d466-752d-4e4e-9a74-d8d259c81cc0,ec8caff4-aa6c-4804-b81a-de9ca4ec5b80,,2026-05-10T13:29:42,captured,4000,
b3679ff0-8992-4058-b624-795222c7e1d8,58da401e-9e8c-42c3-b22c-5e4e80d05671,c5317eba-8fc3-4b3f-9e6c-1c4b4d3e3711,2026-05-18T06:08:58,captured,1400,
553268ba-aeef-4705-9436-51f12c28a9b4,03267644-c31b-4e7b-b6bb-000350caec96,,2026-05-25T19:38:08,captured,4200,
acec6702-4197-4a35-9514-0ff21732ce59,e48f9f64-adb3-4286-9ade-f4dd8f2abd7c,,2026-04-08T11:09:14,captured,8800,
c8e6c719-5791-4ba8-b742-9c961c501498,0f61e28e-7a75-4a43-9adb-42c84c77d741,,2026-04-07T01:51:10,captured,3600,
4149735e-71c5-427d-910a-a24c791f31af,c4bf1fca-d874-4ab0-ab5e-9c6e819f7d25,e940c204-64e6-4146-b1dd-cdbe0fd83f60,2026-06-01T18:29:55,captured,1100,
15afc36d-295e-4c65-a604-fe0cf6358949,9fcc9915-a7ff-44c1-8d0f-59f1a67ca6cb,,2026-08-09T01:14:58,captured,2200,
18790079-fbc7-4e58-970e-7af0f103b54b,22f3f369-c0e7-4646-91a7-f308c385d8a7,,2026-05-17T11:57:19,captured,1900,
b350e09c-75f4-41e8-9301-43138ed9ca31,07a77e4d-c633-4662-8ec9-5ca617650869,400eb25c-b676-4d15-a478-56c82ed6ff48,2026-08-06T11:22:22,captured,2300,
cd32dc46-1935-4050-b8ba-f130f0913487,80c232ae-96d2-4f09-93ee-582eba557cc9,aada2148-73b1-4c0c-83f4-2b6f907ece76,2026-04-29T08:14:18,captured,4500,
e8bc00ff-f05d-4f97-b54d-a0b324a03197,f6b601ad-1a76-4066-aab2-5d90f10347b3,4d54bf90-794c-4858-8c8c-c289a69a63e5,2026-06-19T04:20:58,captured,2200,
de34934e-c207-41e5-aec0-508999711855,9d7dea03-72cf-4913-a3ef-6579fe6d7253,7aba7275-780f-44c6-aff2-7a26f051b897,2026-02-22T11:25:42,captured,2800,
3c408126-8949-4064-aeac-d8eb8858763d,00f771f2-d1c2-46bf-90f9-4f7c1bcf2090,2cb498c2-8b8f-4889-ae17-584362783b2b,2026-07-14T04:29:00,captured,1200,
ef10edbb-f6be-4fd2-a0f1-6b412c7eceab,169e6146-8054-4a64-a17d-b4c46081d30a,3da85124-ce71-4602-8043-38630704e266,2026-06-01T01:05:19,captured,1400,
d1b4f37c-4ed8-42c4-97e0-57edfe63a00c,93f44239-0645-40ee-a85f-c626346cf3dd,,2026-03-03T01:29:05,captured,1300,
631071cc-4a8e-49ea-9be0-78bbfb935298,80658fd7-2c3d-4f43-b96a-adadf0fee152,bd3cfb2e-79c1-4cb7-9e2b-5e40e3411b53,2026-05-15T06:49:00,captured,5400,
4ccb6106-1df5-4231-8878-7e9167ddd763,8ca92c1c-838f-4163-8436-e1706d5d9e49,efaa6418-54ba-48d8-9f45-a6683738e463,2026-02-22T12:36:30,captured,1200,
71e77b99-9614-49f0-a361-4a068588ddff,c2bb61fc-dbbe-41b9-9ed5-0964d211fda8,d85af891-f04e-4dc0-820e-67569d7cc51e,2026-07-12T23:52:39,captured,1400,
134d15d0-eb40-419c-bc1b-825663fd1ac9,5ced0d38-c0a3-4e10-995a-ae91c02d809b,192c6d7e-5a54-45fa-a4ae-73514ee1e11d,2026-06-27T07:10:23,captured,0,
c1dfeb77-2ff8-42b7-96b2-9886d0e69c77,0858ca5c-3561-4293-b365-8eb1aaaefd46,,2026-03-11T12:20:27,captured,5600,
16c611dd-4d90-4c73-beb6-3707aa77f767,d0d9c309-c68c-4433-8b5e-b571b1f70ad3,7139a7f2-3087-4749-bdbe-cba17281d3fb,2026-05-18T00:17:59,captured,2800,
d6debc2c-79a9-45df-bda3-36cb508a9bf3,c4e03e5e-a541-49b2-9909-4c279c76c16f,,2026-05-11T13:17:14,captured,2800,
cbc6661a-b3dd-46a4-9d43-5dd0643bb6eb,eb933685-b3ec-4129-a0a0-d1de0e39ccda,c5317eba-8fc3-4b3f-9e6c-1c4b4d3e3711,2026-03-16T21:46:04,captured,700,
238979be-285d-47fb-8de8-463bb4c08ae3,beffe539-6497-4fd5-b1be-e9aa178b26b0,aa6d5edf-a8b8-45aa-93bb-3dda6a46d01a,2026-08-03T07:49:06,captured,0,
f4ac1c38-aaa6-4a29-af97-0cc6a9a05595,29a6dfe8-7391-48a2-9074-9bbadba1c225,bd3cfb2e-79c1-4cb7-9e2b-5e40e3411b53,2026-05-22T22:28:04,captured,400,
9ecc7c69-2b6d-4967-8139-da3cf72a3840,79a74e0b-856b-48bc-9c50-17c460cb9650,d1765801-18f5-4e3f-b137-59a8649ebed3,2026-02-25T23:47:26,captured,4500,
cf889d89-1eb3-4aea-98be-809e8c7b2db9,5c135492-9767-445e-93c9-4310edc46ee8,,2026-05-13T22:32:23,captured,2800,
fb51e9d3-cbca-4c85-8dd1-07a43e21ffea,598cf036-8365-42cf-b742-93f4ae0bb8cb,,2026-04-22T22:25:38,captured,2800,
