id,sku,attribute_name,attribute_value
9bf3bdb4-1dcf-421d-a73e-1fc7f6cafc44,JAF-001,is_vegetarian,false
0b3eb4b8-336c-4ae4-8b8d-c97a475afc7a,JAF-001,spice_level,hot
82aa147b-fd17-4c72-b2b1-f1e128b033b4,JAF-001,calories,398
e3615e25-10e8-482d-b605-bd3ccb9f793e,JAF-001,allergens,dairy
64c47a51-0c64-4def-88b6-cd04fb48df05,JAF-002,is_vegetarian,false
1a88738e-5328-496e-b824-7c52a40c8d60,JAF-002,spice_level,hot
0208964c-6c4b-4e3a-b4a5-03c663e324c1,JAF-002,calories,379
4735767d-3679-4932-9d66-a4b32560a374,JAF-002,allergens,gluten
a09762b4-2790-4d3a-b984-3e40b5888d81,JAF-003,is_vegetarian,false
5be2096f-297b-4d2d-bb9f-771da6c1c187,JAF-003,spice_level,mild
51f04851-ff47-47d2-a6da-491c494e4f9c,JAF-003,calories,394
9e50948f-88c0-420f-a3d9-d9d906cfa557,JAF-003,allergens,none
4ae04c66-8ecc-4d6b-bd5f-ec78347f0b66,JAF-004,is_vegetarian,false
eafe8272-c05f-4ce2-a930-7567b3e62963,JAF-004,spice_level,medium
ed45f2af-f5bd-4851-8fa5-bf5acff5b652,JAF-004,calories,385
04cc97c9-f70e-4d41-be31-87f33617dd3e,JAF-004,allergens,gluten
bc8f9ecd-b09c-49ae-8dd6-44c254114892,JAF-005,is_vegetarian,true
f05c755b-fc9c-40fa-8d4a-1ce7fc0dd3ea,JAF-005,spice_level,mild
aa9a749c-6d8d-44ec-ab98-001f5e56070d,JAF-005,calories,632
b350a11a-2952-45d1-9154-eba9e4bea8b9,JAF-005,allergens,none
ae77a742-c1da-411d-9f25-5a6a4068a42c,BEV-001,is_vegetarian,false
0bfdadfd-2654-4171-9e08-93034b015043,BEV-001,spice_level,none
18a5d0c5-9ec1-4ce6-921a-b14062514d89,BEV-001,calories,135
1f629064-70c2-4fc0-9a99-862b90d627cc,BEV-001,allergens,"gluten,dairy"
f02ce20d-e850-472e-825c-c8479f0edff3,BEV-002,is_vegetarian,false
70e09fc3-8bb4-4092-95dc-e3359f9851dd,BEV-002,spice_level,none
009ce464-6e40-46a3-a336-9313fd787154,BEV-002,calories,177
f42aaf9b-3056-40d3-93c1-23163a94f4d9,BEV-002,allergens,"gluten,dairy"
c4cc7486-9144-4cdb-831b-35d758776f87,BEV-003,is_vegetarian,false
6b13909a-2c0a-4233-9c43-cb57c28c1251,BEV-003,spice_level,none
384604c1-7528-49fe-87ac-d388f669b8c5,BEV-003,calories,267
b50a1bd5-697c-4868-8823-daffca39bc48,BEV-003,allergens,none
aa7d6580-9811-40f3-abca-b08544471281,BEV-004,is_vegetarian,false
bce086f5-19d2-4580-b11c-0181e543b758,BEV-004,spice_level,none
0023435d-a277-41b7-8d19-9d87d8d5c2ed,BEV-004,calories,132
c1df6e13-c6d4-4f78-b61a-06b4b265c302,BEV-004,allergens,gluten
633d466d-5013-4342-9b8b-a0ca66c7e1c8,BEV-005,is_vegetarian,false
d8f026f7-19f9-466c-b661-ec2a01e846a8,BEV-005,spice_level,none
f4d6c087-e2fd-4dce-9251-ee62afc87b91,BEV-005,calories,131
208b148e-1b02-45b7-8201-a3cd352456e3,BEV-005,allergens,gluten
bba1c6e1-d72b-4dd9-8d8d-2a6f5b074bb9,JAF-001,spice_level,extra hot
