id,purchase_order_id,sku,quantity_ordered,unit_cost_cents
397168e6-9ba0-48cb-bd4c-448078fda3bc,bbe19fa5-7ac4-4ef4-a5f0-4ada1208f882,JAF-002,39,484
c97aede0-4adc-43a9-962c-603b64cad1e8,bbe19fa5-7ac4-4ef4-a5f0-4ada1208f882,BEV-001,125,307
f02cab5d-b71d-478a-b296-9290502abb49,396c03d3-b0ff-474f-a61e-0729ea0c1825,JAF-004,147,426
7ffd2144-4e47-46cd-8a6d-93fa994a4f59,396c03d3-b0ff-474f-a61e-0729ea0c1825,BEV-005,107,167
a1181b3f-f905-4fa6-8dd7-80e9b1d89c69,85081c38-477f-456d-ab10-f1b3c1af34fd,JAF-001,121,377
1f19506c-9c44-4302-88ff-ba17012000ae,85081c38-477f-456d-ab10-f1b3c1af34fd,JAF-003,46,606
d9210b54-46f2-47c5-b236-59b09ff294b7,85081c38-477f-456d-ab10-f1b3c1af34fd,BEV-004,33,324
4be1a2fd-3561-462a-bb00-c92ff4e1cc8a,84b5c32e-50da-483d-9fc4-841961c49cb5,JAF-002,142,484
40286dfa-d8ae-4c35-b1d2-64a37a732ea5,a17b5c1c-e3ae-4fc8-9669-ad1151291753,BEV-001,131,248
ee305663-d8ac-42d6-8e6c-7d07f878eb65,ae6f7b88-76fd-42dd-b102-083b2fd20c93,JAF-005,116,577
d38b44cc-448f-43cf-a16d-94cb2113d6d3,ae6f7b88-76fd-42dd-b102-083b2fd20c93,BEV-003,100,199
f1b866a5-0c12-4ab8-96b3-d971e8b432ce,22544974-ff9c-459f-979f-32cdfa09184a,BEV-002,47,228
68f7fc97-0737-4fe2-b8d0-73da802c0e72,1328db5a-247e-4b8a-9237-53a79936de3c,JAF-002,80,372
d0e0bcd1-9e30-40ee-8568-f1f4003935f5,1328db5a-247e-4b8a-9237-53a79936de3c,BEV-005,126,167
70d102a7-32f0-425d-af75-046679162f94,3400f9d9-3a80-4c8e-bc9b-4a971bc44e95,JAF-002,83,372
ba31a315-3ba5-46b3-8b3d-19863de9730e,3400f9d9-3a80-4c8e-bc9b-4a971bc44e95,BEV-005,129,167
5e99db2d-d8af-4cb1-b27f-da0f6acb6dd6,c90f7093-c986-4910-8abd-75f87717ec55,BEV-005,133,167
c871d572-1182-48f7-b5c1-bfe73309b5aa,c90f7093-c986-4910-8abd-75f87717ec55,JAF-004,113,426
856a71e3-13ec-4829-bf6b-f85596e13c1e,873f0507-385d-4ca5-905d-b84ae70538df,BEV-005,143,167
2fe9eb52-0006-47b1-9e19-3c5fa82ea587,873f0507-385d-4ca5-905d-b84ae70538df,JAF-004,92,426
351ed0a9-e3f2-4ec5-829e-6d501a94aa4c,873f0507-385d-4ca5-905d-b84ae70538df,JAF-002,138,372
c4938f31-75f2-4d8d-be86-e57598ead5db,757cd6f1-52f7-4603-b00b-265fdf3e6c97,BEV-004,84,324
e8ebf1c7-c43e-48c6-a03a-aa445b6e912e,757cd6f1-52f7-4603-b00b-265fdf3e6c97,JAF-001,54,377
c14bb544-e898-4b48-9aaf-e3274156a043,311a4b55-4d95-4d63-add1-ed3da26cdcf5,JAF-003,37,606
403164d2-8402-4196-b9af-8f103ba68de5,311a4b55-4d95-4d63-add1-ed3da26cdcf5,JAF-001,90,377
c072f7d6-ea16-42bf-ac9f-171d50e03fd1,69ec69be-9191-4b9d-8112-ab32f6c43ac6,JAF-005,92,577
41aaebd4-fcf4-4df8-8418-2b7477fcf5a3,987b68ac-b997-404b-8d4a-5e5ddc6a463a,BEV-005,64,167
218f0d3a-1040-4e4c-944a-e5ca0e039460,987b68ac-b997-404b-8d4a-5e5ddc6a463a,JAF-002,103,372
97472f9d-fee5-4b5f-97b2-ba442426004c,4ebd706c-f434-489e-bdf3-6c89fbf516e6,BEV-004,60,324
d5ba4f28-b4bf-4d84-b33a-117fc10eecec,2a4d72ae-b4d4-4ee6-91b0-f3f88839ab83,JAF-004,117,426
1ae11c8c-0f30-4a24-90d3-2671fbd6f083,2a4d72ae-b4d4-4ee6-91b0-f3f88839ab83,BEV-005,106,167
25bf3369-4dae-4a69-a3b5-c9fc9e38a9bf,be524906-6e7d-41db-a722-ed3d4fca0dc6,BEV-001,90,248
e9e5c39d-fea4-497f-aaa7-855ca68fd792,7cc97b4f-458b-413e-b5ce-336599d0268a,JAF-004,140,426
83317806-7f03-470b-bb13-8419b84c356f,7cc97b4f-458b-413e-b5ce-336599d0268a,BEV-005,32,167
a0e5643a-15b1-454e-903c-dde0e29454b9,74f29d53-2146-48f4-8995-a07dac10fccb,JAF-005,118,577
