id,return_item_id,inspected_at,inspection_result,inspector_notes
b12409d1-e451-407c-b56b-d41a50844c25,0108c043-da1b-4201-8c6b-3067df4fbcac,2026-03-24T05:22:06,not_as_described,President speech ever long girl.
061bf524-8d7e-499f-a624-6eb39984584d,9e610150-d59b-47ee-8800-10c493ec0263,2026-07-27T10:34:41,resellable,Think table feeling out manager example item house level.
7692d454-026d-4525-b536-b05213e37030,3c72b4ce-b8d2-4c39-8ae7-bcbd85580f4f,2026-07-27T10:30:50,not_as_described,Room although good whose set paper position.
a6a6a5e3-4e05-490d-9435-5366ae3b679b,e9d6943f-18c4-4407-bfa1-db3b88a26b9e,2026-06-19T00:06:21,not_as_described,Clearly image everyone court ready along condition report thus.
0379a3d6-9a60-4c3b-beca-2d417e665a00,825dfde7-7c90-42a2-8fd3-d3015b1f1fc6,2026-04-25T21:47:37,not_as_described,Morning pattern candidate agreement subject series some.
9c179538-3923-469e-927c-1de9f308c4a1,017bc9b0-08a3-4b54-b85e-394dafbe2b45,2026-07-29T08:50:47,resellable,Believe professional style born force particularly order cause really black.
bb92f837-4390-4253-be94-2cea77b67ca2,06f5a69e-6951-4dbe-9f7b-48a30f7bb881,2026-05-03T19:48:59,resellable,Production type dog customer phone thus use some own grow.
e6dc50ab-8b82-447b-a740-18874ad150ad,c242459d-8811-4fc6-8d2b-1e0259e917d5,2026-05-07T09:14:03,damaged,Player there sense make positive.
6ac1d856-221b-42ad-a9a9-1fbc8118d833,67f556b8-8e7d-4cba-be28-ecc9ff56d7f6,2026-04-04T00:40:13,missing_parts,Financial half economic address important open.
8ed5f4c4-c63a-48ff-8da3-b4d4903f2087,386dfabb-9a9a-4199-a653-1ae7f6b7619f,2026-04-03T04:23:45,damaged,Number goal hear watch history know voice for.
e036d34a-68bf-487d-90ee-21b2e717c72d,63bc9ce1-114d-495d-96a7-573598e5af58,2026-04-19T16:47:46,damaged,Keep education leg sing claim data loss cut conference major.
b6903020-8b7d-4cf9-844a-32e6a6b78dfa,5181fd1a-d858-4fd1-908f-4d46a8235b4f,2026-04-19T19:02:52,not_as_described,Much politics ever week him appear very participant some.
820099ae-5697-46d6-93db-81d1cb1feda4,db7e5a5d-2ce3-45fd-9824-a6e056bd8cfc,2026-05-09T00:33:01,damaged,Old thousand maintain difference get make pass leader guy entire meet.
091dd3eb-3756-4501-9bc5-65777e10569f,1edfd505-a178-46ae-870e-66926cd7200c,2026-03-07T19:42:48,resellable,Pm along either put main factor.
5a549a74-78cf-43a1-962e-51d71244900e,2554c214-9565-42c1-8d9b-6ac3efa379ab,2026-03-08T04:44:40,damaged,Their government strategy thousand evidence work economic play father should.
5e8e712b-0437-4768-b7b3-73cb901bfffd,12147e1b-ef57-4a3a-877e-d4efb47a2da2,2026-08-25T09:30:46,resellable,Better some increase system why scene green box travel color.
7ea6f097-b594-4c53-9519-1a047d40f7d6,99c99ede-cc1b-4c57-a7cd-63d098fbb6c7,2026-08-25T01:55:39,resellable,Maintain less from add create beautiful.
6896974a-be60-47b9-9be8-fcb336fd0abd,87b9784a-2564-44c3-976d-72327b8d53c6,2026-07-26T07:08:26,resellable,Hear let east across head.
79a499da-f606-4a84-9945-1f2fdc1f0801,62afe34d-c91e-4a40-8d7e-1acb9fccae42,2026-03-18T01:30:36,resellable,Teacher member concern meet site feel nothing identify necessary raise.
df27362d-7883-4728-bb71-0fcb0c9cf435,1c5bf778-86f7-4ffb-9f71-f56e9a282bf7,2026-03-17T05:38:21,resellable,While most note be film and there popular.
