id,customer_id,device_id,started_at,ended_at,landing_page,referrer_source,is_authenticated
7ddb3f56-d6e2-4b52-a824-57c87f201872,,,2026-04-22T16:07:10,2026-04-22T16:27:10,/search,email,False
46981f64-e40e-441b-954d-8f9e87541aaf,efb0203d-c970-47ec-8644-2090a658224b,9782dd5f-00ee-4536-a9a8-6696f05e7d59,2026-03-19T05:35:10,2026-03-19T05:36:10,/,social,True
b329faf2-ffc3-42e9-9bf9-29809d182e95,,,2026-05-31T07:20:15,2026-05-31T07:21:15,/,email,False
782cde32-6a5e-4457-9c4d-ac9fadf97360,,,2026-05-06T20:00:26,2026-05-06T20:08:26,/category/jaffles,email,False
4d383505-6875-4ccb-ab92-d93b4462ef29,64ad7907-f83e-403b-b5b4-b1deded9bb1d,,2026-08-12T17:15:45,2026-08-12T17:16:45,/category/jaffles,email,True
ea00eed4-ad60-412f-9924-ff2e5e508c56,a5781cf5-d32e-4370-b0f8-4f229bc0efa4,59320c71-5ab8-48f2-8624-064bcab18c66,2026-08-08T19:36:32,2026-08-08T19:39:32,/category/beverages,social,True
b5d40c5b-6d82-48c5-a4c1-2426441ea009,6939d1d2-fba3-4888-8c53-6898bb73c26f,abe2e158-f3a5-4137-b428-e7d2c116dd21,2026-08-15T09:24:21,2026-08-15T09:27:21,/category/beverages,paid_search,True
efe6ef10-072e-47dd-8795-078f50888503,359c05d0-e19d-463d-b3b4-43a0b4a3810f,7d7f55d1-d105-4d4d-9ace-584d3d7fdf32,2026-06-18T17:49:36,2026-06-18T17:52:36,/search,direct,True
7b86d065-b99f-4b35-bdc3-d40f55f3bec3,7e394ed8-8aae-477f-9649-5d3e7f5658fb,,2026-06-02T22:25:39,2026-06-02T22:26:39,/,organic_search,True
b62fc630-f334-4fe8-b9af-ebbef5b2a4fa,,,2026-06-24T10:35:42,2026-06-24T10:38:42,/search,social,False
21fbe0ce-9427-4f5f-b532-8be2fdd352b3,,,2026-07-28T15:53:02,2026-07-28T16:01:02,/category/beverages,paid_search,False
0a52bd91-b03d-4cd5-b090-ba3299d19203,,,2026-07-25T01:10:10,2026-07-25T01:13:10,/,organic_search,False
7a1b9166-2278-4ed1-abe3-8e2ed5e7f9ff,14dec3ce-7570-4c3f-af8c-e9c0d74cfcd2,5c68b3b2-57e7-44b0-a5d4-1980e12b618d,2026-06-14T08:49:16,2026-06-14T08:50:16,/category/jaffles,social,True
496c318f-ab9d-4a9a-86bd-97263a5a8eb9,,,2026-04-08T05:33:27,2026-04-08T06:18:27,/search,referral,False
ed8f4128-67d9-4a2e-a8b1-e9ae162c5cc3,,,2026-05-10T08:15:30,2026-05-10T08:18:30,/,paid_search,False
b1f0eff8-b095-4bb1-aaf3-15fbda8cf492,3f13d579-3df8-478c-b978-eec7255facfa,992dc33b-fb83-4860-894a-cde40de5ff4c,2026-03-18T01:25:36,2026-03-18T02:10:36,/,direct,True
72ed3f9f-58f0-4913-97fd-3c719cd97b2e,d77ac8a9-6445-4f65-9a77-b0fb3abe853d,,2026-07-10T04:44:10,2026-07-10T04:47:10,/category/beverages,paid_search,True
b77a5b16-2671-4c04-a40f-aaca097b932e,91c5349a-5fb8-43b5-8af3-1b0018617bc3,,2026-05-10T09:49:40,2026-05-10T09:50:40,/category/jaffles,direct,True
bfff9256-b038-483f-bddd-a50c615c90f4,4126c950-a88a-4305-895c-96d7e076897e,7b629e77-28d4-44a1-8119-d035351da73e,2026-03-15T23:04:38,2026-03-15T23:07:38,/category/jaffles,social,True
6c10d66f-c947-4b6c-9506-0ba90ff8b78f,,,2026-06-30T13:39:46,2026-06-30T13:40:46,/category/jaffles,referral,False
152b0e67-a354-4e90-87d2-c32ca35869ce,,,2026-06-29T06:43:49,2026-06-29T06:51:49,/category/jaffles,referral,False
dd4d76c1-c282-4fbd-80a3-61eadfc6e01a,e6ef189a-76de-4ef5-ace2-676d69273e22,9f77024d-abea-4e27-9443-f3cdfce45849,2026-05-08T18:55:56,2026-05-08T19:03:56,/,email,True
e6596f94-02fe-4ccd-b627-acefb8dfb6d4,bf03895d-6d44-49a2-8183-81c4e89eac75,e4d4f934-0d77-497c-9764-6c23118c7f6c,2026-06-12T03:49:12,2026-06-12T03:57:12,/category/beverages,email,True
f38afce9-798d-4be9-af76-87e28eb8a1ad,8f34cf8e-4ab5-436b-b34d-d43e654c8d6b,,2026-07-03T09:59:46,2026-07-03T10:00:46,/,paid_search,True
5de4a6c0-9b8e-42f2-b80b-8d731b6f1b3b,e52a8700-3ab9-4c47-8a16-e799e997a931,,2026-06-23T05:04:25,2026-06-23T05:12:25,/search,organic_search,True
4ffcbfa2-7203-4d2e-9e22-a6f1c3199d94,01a03f19-633a-4474-990e-57e75b98e60b,e4f97808-3a2e-494f-9b20-ecb71385b5ee,2026-08-01T10:48:13,2026-08-01T10:49:13,/,paid_search,True
3b3201be-c979-4bc2-ab4b-a886e16bbfa9,,,2026-07-11T20:06:13,2026-07-11T20:51:13,/category/jaffles,email,False
e7c9b124-4ee2-4d3a-9cbc-d75d1d1943a1,f78c30cb-fcda-4209-9aea-0ae7ce4f7b81,8c6c4d6f-f362-48fd-af43-c06aa113b353,2026-08-08T11:50:55,2026-08-08T11:53:55,/,email,True
c03441af-8a09-4c22-882c-8a95043a7c4f,,,2026-03-07T09:46:32,2026-03-07T09:49:32,/category/beverages,organic_search,False
01688f04-fb1d-4f8e-b562-b3907c8dadb7,b4413ac0-2fc9-4c91-b188-71c109d9be8f,297e8e13-436a-4712-a936-528cbde7ee22,2026-07-29T09:45:36,2026-07-29T09:48:36,/category/beverages,paid_search,True
8665f018-857f-4ca4-ba49-331065b44937,,,2026-07-25T19:16:07,2026-07-25T20:01:07,/search,direct,False
6cd75535-9711-4352-8009-9df3bbf09946,,,2026-04-10T15:38:41,2026-04-10T15:39:41,/search,email,False
