id,fulfillment_order_id,carrier_id,tracking_number,shipped_at,estimated_delivery_at,status
3e59914e-62e6-4c76-9c4e-0b68dc4ded3c,40464aa5-9045-48b9-be92-2b767c28c79c,CAR-USPS,612641604458,2026-05-13T17:29:52,2026-05-18T17:29:52,delayed
ec394f08-9d85-44f6-8268-a183aa37ae0e,cadf9c1c-598c-4f17-96af-e495cb5c7013,CAR-USPS,965314286387,2026-03-05T01:27:26,2026-03-10T01:27:26,delivered
0eafed5b-9185-450d-96e4-0406080ae9c9,c437206f-9756-498e-91e0-b9b89a869ef9,CAR-FEDEX,542711651491,2026-03-20T00:49:13,2026-03-22T00:49:13,delivered
232eeff4-fe79-430d-80ad-d2444f64127b,b29797a1-cdeb-4518-9a75-e461ec7fe92e,CAR-USPS,138592953946,2026-07-23T00:41:21,2026-07-28T00:41:21,delayed
0782dcd3-6a47-4fc9-bff3-a69448209086,e1aafd8b-d81a-42e0-b5df-da340eb3425e,CAR-USPS,194290344733,2026-06-17T22:51:00,2026-06-22T22:51:00,delayed
0fe0265d-ad8c-44fd-bf49-f639ca38509a,3d9862a5-6596-4b5b-bdc8-d15a32abd5ce,CAR-USPS,591977060634,2026-04-11T11:34:05,2026-04-16T11:34:05,in_transit
de30afe6-aee5-4210-9a9e-28912f5f7a9d,b67ff3bd-87f6-4d42-8ae1-0bd0b53bd3b1,CAR-FEDEX,703651368969,2026-06-09T02:35:53,2026-06-14T02:35:53,delivered
62d48ffd-3e7a-46fa-8fc1-a3cf6bbf9397,98864751-a111-46d0-b72b-318600015bbd,CAR-USPS,367658733566,2026-06-15T15:26:26,2026-06-20T15:26:26,in_transit
9c372c67-5d27-4f49-a604-fb815b9cadec,2be583a5-5c69-49a3-9307-f84739b2f34c,CAR-USPS,149690087526,2026-07-26T20:57:56,2026-07-31T20:57:56,delivered
bbc3dc9d-df80-45df-9da3-c91e9e88421c,b0006b44-c94e-44fa-8a45-5a90d4b79e56,CAR-USPS,667882285884,2026-03-27T16:09:59,2026-03-29T16:09:59,delivered
b0c36243-385b-4e60-899d-cd42556c9514,d287257a-1e7c-447e-a244-6aa1d7e46cc3,CAR-USPS,603058873878,2026-05-28T07:51:07,2026-06-02T07:51:07,delivered
4d9549a5-212d-4aec-972c-f32844d08cb3,9a7f13fb-33bd-4f69-a457-70784a437ed4,CAR-UPS,477926279855,2026-03-30T05:33:36,2026-04-04T05:33:36,delivered
aff6ee40-3722-4de9-a578-f2f9851ad94e,014b914b-21a9-4b66-baa4-d528e36d8297,CAR-FEDEX,777617176891,2026-03-03T09:45:46,2026-03-08T09:45:46,delivered
fdb06766-b423-4232-af51-7e6361811eb8,3a97ad75-6968-42d0-8be6-3a76bd3618b8,CAR-USPS,883700789382,2026-04-03T14:54:43,2026-04-05T14:54:43,delivered
9ae90621-fcee-4735-b34d-6fe33ed7ae67,66cd5e6c-c257-4ed6-aadf-9b1457435f90,CAR-USPS,590450502378,2026-07-03T01:56:03,2026-07-05T01:56:03,delivered
f6307a7e-26d6-4d91-a78a-88af916d7bd9,abcc0120-f74c-4d8a-a5e6-8b4a6add3c68,CAR-UPS,771940555378,2026-07-11T15:07:56,2026-07-16T15:07:56,in_transit
d6e20d22-d603-42f1-a13a-2d01facc7358,67c2bb22-2300-477e-83ea-83f18cc09aa6,CAR-UPS,281398774825,2026-07-31T15:30:19,2026-08-05T15:30:19,delivered
e487eb5f-4a1c-4565-afbd-ea5dd284e13c,ae5aabfe-11ad-45ba-96b7-b8a220ea3e63,CAR-UPS,282958255246,2026-04-16T19:08:21,2026-04-21T19:08:21,delivered
bd16c497-ef98-49d3-903a-2ae60bae20ac,c8f618c8-3835-41bd-aedf-252e1e6041b3,CAR-FEDEX,897413148929,2026-05-22T07:52:28,2026-05-24T07:52:28,delivered
c068cb30-3bdf-4c83-b234-e0255e624ae2,cac5a14a-e9fc-4abd-956e-a34188c3daf6,CAR-USPS,151413129520,2026-02-28T19:11:07,2026-03-05T19:11:07,delivered
a70ecf39-e330-468f-af69-33c2ab9ac069,c4234eab-6a5c-4ffe-80b4-bed5f29c0695,CAR-USPS,584158470748,2026-06-10T14:28:22,2026-06-15T14:28:22,delivered
c2fe7d01-fd75-433e-a474-94807ca5d91e,5fa67f1b-44e1-4b30-bd3c-cc7102185829,CAR-USPS,218242398173,2026-07-10T21:17:51,2026-07-12T21:17:51,delivered
5e6eb2ea-65e8-41a2-85f5-ac12c2c1d070,30a9b244-131a-4fc0-94c3-c5a533c4240f,CAR-UPS,171909595481,2026-02-22T03:16:36,2026-02-27T03:16:36,delivered
7637e032-db53-4047-bc7f-e036a9d6384f,0cdbe6db-7e0e-4c83-a859-7538e9a34744,CAR-USPS,932649668292,2026-04-20T22:53:14,2026-04-25T22:53:14,delivered
22148f4a-d543-4903-beab-d931e08588bd,754ac1eb-448a-4e81-b8df-727c54bd76d8,CAR-UPS,892689484594,2026-05-11T18:14:34,2026-05-16T18:14:34,delivered
7e7165c6-304f-4b74-8e44-24d78b2a0afb,342fd21e-c522-40d6-8a95-1b12cff2e156,CAR-FEDEX,272596086845,2026-05-27T19:48:27,2026-05-29T19:48:27,delivered
5cc2b8ec-4fbe-4bd2-93cf-d34589298f1d,3dd6b9f5-c1fa-488b-b8f0-9f96b7b7e305,CAR-UPS,274519968351,2026-04-09T04:44:51,2026-04-14T04:44:51,delivered
