id,supplier_id,sku,supplier_sku,unit_cost_cents,lead_time_days
4bf160a9-fa56-4ed6-8ade-b5de5a7edeab,7b6fa30c-7b85-46bc-a20d-3b5d7380e9f2,JAF-001,GU-2344,377,4
e640c481-dd0d-413e-9efb-02e5a11e948a,ceac3f4a-fef0-40f9-9fe2-d6b30ac4a90c,JAF-002,AL-1219,372,11
ee5d96d3-21b6-4738-87b9-9f8d316b7100,02f5c847-596f-4b6b-b575-d0b77e15c9e6,JAF-002,ZD-9124,484,8
5f818bb0-d481-4001-b1ac-58e4a2b2c496,7b6fa30c-7b85-46bc-a20d-3b5d7380e9f2,JAF-003,KK-4567,606,7
ac6b4bab-0690-4ff4-b61a-221056834e7b,ceac3f4a-fef0-40f9-9fe2-d6b30ac4a90c,JAF-004,LP-5938,426,16
f156cc30-9981-4f5c-9c08-056ab1136c4b,cb45514c-a4d8-48a5-a965-6df357cea1ae,JAF-005,BC-4908,577,19
7308a95f-4e8c-4b92-aeef-0aca010c5bb2,81ffb92b-a22a-4349-9fe8-c897b538bb49,BEV-001,HL-6107,248,21
b510e90f-5161-4d41-9d1e-a95bd56e50e9,02f5c847-596f-4b6b-b575-d0b77e15c9e6,BEV-001,RE-7207,307,16
98457e96-36a0-4b1c-9e09-b05cd87dfb13,02f5c847-596f-4b6b-b575-d0b77e15c9e6,BEV-002,BN-1860,228,19
3b0b76e3-3479-4f3e-9135-d65297369205,cb45514c-a4d8-48a5-a965-6df357cea1ae,BEV-003,ES-2976,199,13
a34f34d7-b3cb-4bc9-a807-5b7104289e29,7b6fa30c-7b85-46bc-a20d-3b5d7380e9f2,BEV-004,OF-6562,324,21
d0617cd1-2421-47a7-9a39-59a081c2972c,ceac3f4a-fef0-40f9-9fe2-d6b30ac4a90c,BEV-005,TD-0188,167,19
