id,ticket_id,sender_type,body,sent_at
f64623e1-aaba-4afe-8098-4c00f7b08fc4,7425f8e8-a60b-4e88-8400-f4087c2688b5,customer,Laugh agent tree whatever throw. Heart defense onto marriage early.,2026-05-19T06:21:53
47f34435-f6eb-4316-8983-e3c4f3a6fc73,c348d631-7db8-4090-b61b-61753cef7893,customer,Ready event step painting simple thousand.,2025-10-31T11:12:00
8c1c9828-4dc9-45e0-a2c6-1d49dcbeaa0c,c348d631-7db8-4090-b61b-61753cef7893,agent,News stop candidate and.,2025-11-01T02:42:04
3f5b646a-1fdd-42a2-9a01-edaf0e96ed9f,c348d631-7db8-4090-b61b-61753cef7893,customer,Seat add indicate catch nation.,2025-11-01T22:18:58
8ae8eca7-4c65-407f-99f3-c3a6dec9bfaf,c348d631-7db8-4090-b61b-61753cef7893,agent,Statement shake matter third.,2025-11-02T01:44:50
d9216c6e-feb0-44e6-9171-55713d5fcb03,c348d631-7db8-4090-b61b-61753cef7893,customer,Time keep employee stock word let top.,2025-11-02T20:49:21
d44b7db6-7c1e-4413-af32-5b469b081b38,cecb6e8a-809d-4e7e-ad04-563fe2870bec,customer,Doctor character game various player either. Information continue carry why election way.,2025-10-22T16:06:47
9d9e36f9-3126-409b-af3b-d731af16cd31,cecb6e8a-809d-4e7e-ad04-563fe2870bec,agent,Financial defense people pretty everything win picture.,2025-10-23T05:44:06
adae2e7d-7902-47de-854e-7ec865f3dbee,cecb6e8a-809d-4e7e-ad04-563fe2870bec,customer,Plant listen face majority social.,2025-10-23T13:23:34
5b5a808f-eb54-4b8d-8626-d7b8d9595625,cecb6e8a-809d-4e7e-ad04-563fe2870bec,agent,Do over never risk over fine near. Effect defense defense notice join blood walk.,2025-10-24T05:02:35
7f960b37-7c07-4845-8167-e8ddcb446b6e,cecb6e8a-809d-4e7e-ad04-563fe2870bec,customer,Effort run smile do position office candidate.,2025-10-24T16:37:24
48e507a1-05a8-4030-b282-035080bdd4b7,cecb6e8a-809d-4e7e-ad04-563fe2870bec,agent,Care article different late difficult loss.,2025-10-25T09:45:35
560abe7d-c96f-40d9-ae55-8ebcd474e90f,11b146d5-1b45-43e6-ae91-bafec80b27cc,customer,Woman public next you nothing conference attention.,2025-11-22T11:09:11
fbf68330-54e6-4f19-a8dd-b63655fc421c,11b146d5-1b45-43e6-ae91-bafec80b27cc,agent,Rest purpose sort vote dinner. Tax organization meet lead.,2025-11-22T19:59:05
4c3b9743-485c-48a6-8f14-d394fb66ce71,11b146d5-1b45-43e6-ae91-bafec80b27cc,customer,Line later drug medical. Its cold hospital treatment really health.,2025-11-22T23:33:54
ff17e83e-7387-4386-9492-4421a31450e4,11b146d5-1b45-43e6-ae91-bafec80b27cc,agent,Environmental meet talk learn.,2025-11-23T21:56:01
93dfff70-a1c7-441d-9389-7e41c5622adb,cdab48fe-3c82-465a-a266-dc1e175a242d,customer,Agree else above likely. Finally sea team but include clear.,2026-06-16T21:46:41
0adda310-d647-4752-a25d-6e0900fc1b33,cdab48fe-3c82-465a-a266-dc1e175a242d,agent,Republican represent agreement quality strong. Congress face pretty necessary.,2026-06-17T05:16:06
e1344575-7844-4ecf-8033-16362d1678dc,cdab48fe-3c82-465a-a266-dc1e175a242d,customer,Many another week away measure analysis hair term. Very college discover develop window break risk.,2026-06-17T22:19:41
be6452a2-becc-42f4-a3d3-719841fbd2b5,4335456e-b768-4112-b9ae-b140f815359a,customer,School drop tell. Center do research begin.,2026-03-15T23:05:18
6b4a51f2-e5f5-4a39-ad35-00faf06621de,4335456e-b768-4112-b9ae-b140f815359a,agent,Pressure only finish drop.,2026-03-16T15:50:10
c919297f-1c09-4650-9b5a-17a3916cf346,4335456e-b768-4112-b9ae-b140f815359a,customer,Reason herself beat side magazine all.,2026-03-17T01:28:19
f6369479-33f1-4528-949b-0b47288cd280,4335456e-b768-4112-b9ae-b140f815359a,agent,Throw investment decide nearly first since size administration. Quality sense off fall couple get difficult.,2026-03-17T16:31:11
680197a5-39ea-4b67-87ff-2de43d279184,4335456e-b768-4112-b9ae-b140f815359a,customer,There partner drop.,2026-03-17T22:22:29
f735abc0-bf9f-4357-bfa9-988142c27f1d,4335456e-b768-4112-b9ae-b140f815359a,agent,Mention gas share shake special have executive. Foreign bag list talk herself hear.,2026-03-18T17:19:47
