id,customer_id,agent_id,category,related_return_id,subject,status,priority,created_at,resolved_at
7425f8e8-a60b-4e88-8400-f4087c2688b5,0f8ab48c-b1fa-4600-9712-1bc2a02d8f45,5ddbd80d-f370-4fa7-bd64-5eec9c2f37bc,technical,,Scientist Democrat author without sister away.,resolved,low,2026-05-18T16:37:57,2026-05-19T15:28:59
c348d631-7db8-4090-b61b-61753cef7893,8c5628d0-6d15-4a6d-80f2-9c723e39ba83,90f96181-8123-4add-8fe8-938102416710,product_question,,Voice next voice floor.,in_progress,medium,2025-10-30T16:37:57,
cecb6e8a-809d-4e7e-ad04-563fe2870bec,e52a8700-3ab9-4c47-8a16-e799e997a931,90f96181-8123-4add-8fe8-938102416710,shipping,,Affect lose case figure.,in_progress,urgent,2025-10-21T16:37:57,
11b146d5-1b45-43e6-ae91-bafec80b27cc,19fee9df-73a9-41e9-9777-18d2a79ab8b4,febe248a-e430-40d5-84d7-fc06d8b408dc,technical,,Help bit table give first miss drug.,resolved,low,2025-11-21T16:37:57,2025-11-24T03:29:23
cdab48fe-3c82-465a-a266-dc1e175a242d,f3abecde-d032-4605-876c-6373a9a9e65b,5ddbd80d-f370-4fa7-bd64-5eec9c2f37bc,billing,,Safe enough former wrong economic.,resolved,urgent,2026-06-16T16:37:57,2026-06-18T05:31:32
4335456e-b768-4112-b9ae-b140f815359a,5a2b4f14-e7ac-4b3a-bf58-688bca696e5f,,product_question,,Force PM phone form throw.,open,medium,2026-03-15T16:37:57,
695e7d3f-b91b-4210-b75c-d66d15dd4a0a,28c1b6d1-da1f-4187-98af-4e43f096b00d,8ae11eaa-8f00-40e3-b3e3-b30d399db61c,technical,,Run tough seem recent choice.,closed,low,2026-04-28T16:37:57,2026-04-30T00:42:13
91faf1c8-8cdb-4bec-aacf-05edeeb5c2eb,f419edd5-8bb5-4809-8cfc-599ab209f6da,d8626458-40a4-4749-8828-09916a7365e6,shipping,,Left design along ever central.,closed,high,2026-02-07T16:37:57,2026-02-09T00:40:33
b208720c-5189-46a8-ac39-51acf03948c6,b4413ac0-2fc9-4c91-b188-71c109d9be8f,5ddbd80d-f370-4fa7-bd64-5eec9c2f37bc,return_refund,e767823d-d623-4991-8816-0041428fc18b,Number each front organization.,closed,medium,2026-08-09T16:37:57,2026-08-10T15:07:39
f72dc996-c9ad-4d44-a808-e8df2748ab69,67f25b4e-183c-4a43-9227-09966e445b42,febe248a-e430-40d5-84d7-fc06d8b408dc,technical,,Course soon point news.,closed,high,2026-05-08T16:37:57,2026-05-12T14:56:14
92a22ddc-7baa-474f-891d-098fec059f1a,8a77ab59-ae1e-4b71-ab66-66bda4615cfd,5ddbd80d-f370-4fa7-bd64-5eec9c2f37bc,technical,,Value base owner authority white same young of.,in_progress,low,2026-01-14T16:37:57,
35abc285-3482-4570-8e02-ec41d8dc8f66,9813cce1-ec92-4b06-b6e3-ed8a73e34436,d8626458-40a4-4749-8828-09916a7365e6,shipping,,Outside model laugh majority run personal.,closed,medium,2026-06-07T16:37:57,2026-06-09T03:06:50
