id,region,tax_rate,effective_from
476bd17d-a5f2-43c4-a97f-62529a82226e,AK,0.0721,2020-01-01T00:00:00
b73e1d2e-ffd1-4a8e-a71c-8b9ce446ab1b,AL,0.0748,2020-01-01T00:00:00
2554e05d-eec1-4243-998c-fd9011dfbc3e,AR,0.0828,2020-01-01T00:00:00
02b750ed-9bb0-495e-a643-9d50f6ba966a,AS,0.0488,2020-01-01T00:00:00
a5cd40e1-259b-4307-b1f6-d6e88d6a73d3,AZ,0.0138,2020-01-01T00:00:00
44400fdd-8166-47ba-9def-8c765b5dda54,CA,0.0383,2020-01-01T00:00:00
2c3b8e5e-6996-4f0d-b97b-a73031015ca9,CO,0.0607,2020-01-01T00:00:00
c16c3c20-e082-4f64-92c4-54ab661e62aa,CT,0.0455,2020-01-01T00:00:00
f1a120c0-b447-4e0a-8574-e7b9542395db,DC,0.0585,2020-01-01T00:00:00
da8cbd88-dbfc-4c12-8703-9c759139bd81,DE,0.0855,2020-01-01T00:00:00
5e183e0b-64cc-4c66-9a1c-561007f90eee,FL,0.0385,2020-01-01T00:00:00
c78a8e73-aa21-4f3c-8e4a-c7266591ad98,FM,0.0347,2020-01-01T00:00:00
1c3b4f52-29dc-4e7e-ae68-5a022149a43b,GA,0.035,2020-01-01T00:00:00
63ebbf70-e843-464e-9205-4749160c7c38,GU,0.0689,2020-01-01T00:00:00
379d7c05-f8a6-4e7d-800a-161af295564d,HI,0.0595,2020-01-01T00:00:00
9116b668-5e27-4085-8440-17be9c435344,IA,0.0789,2020-01-01T00:00:00
aa87373c-7cc5-4ced-8129-9dfbfa1a2acc,ID,0.0023,2020-01-01T00:00:00
cad60906-d09d-4c36-8d3b-369104830f74,IL,0.0487,2020-01-01T00:00:00
8b02db2d-dccf-4bdc-b4e3-63224458344a,IN,0.0762,2020-01-01T00:00:00
c1836e3c-8ca0-4be2-86d1-d1b45bd0f09b,KS,0.0827,2020-01-01T00:00:00
ceee3b96-b78a-49ca-b536-5d14bc97afbb,KY,0.0281,2020-01-01T00:00:00
373841a0-0509-442b-849e-c5124189d386,LA,0.0349,2020-01-01T00:00:00
d1fa584c-d5da-44ff-a66b-ee2f83c3eccd,MA,0.0801,2020-01-01T00:00:00
11a2674a-50bd-41a5-b529-613debc21dc9,MD,0.0025,2020-01-01T00:00:00
432a6df6-e11c-4eb7-a1af-d4176170f238,ME,0.0731,2020-01-01T00:00:00
3641292c-7e14-4a27-81a5-c3d538bc0772,MH,0.0756,2020-01-01T00:00:00
171955ae-a0b7-401b-9280-62101cfe4854,MI,0.0639,2020-01-01T00:00:00
832694cf-1e01-4fec-a19a-24532f4bcb2b,MN,0.0836,2020-01-01T00:00:00
38e5c1f2-ecd2-4042-8699-f6b2f915048a,MO,0.0214,2020-01-01T00:00:00
72110321-63be-4248-b4f3-f7c713d6cce4,MP,0.0601,2020-01-01T00:00:00
94a6112e-c72d-46cb-a909-7d7b922001e1,MS,0.0936,2020-01-01T00:00:00
3866723c-ff88-49ff-a070-2f11c30466d6,MT,0.046,2020-01-01T00:00:00
b167136b-6a16-4a62-b952-05f15470382e,NC,0.0237,2020-01-01T00:00:00
b4e67a95-e90b-497b-8820-ca61dc55c518,ND,0.0379,2020-01-01T00:00:00
f2d5e0e0-1a81-4330-85f5-726f0010ae4e,NE,0.0389,2020-01-01T00:00:00
95f6a58b-8f33-4e28-b5ec-43b586733009,NH,0.0454,2020-01-01T00:00:00
15b2b342-0fb9-46ae-9cfd-ddf93410098e,NJ,0.0766,2020-01-01T00:00:00
a7bfacde-bc4f-4365-b028-860c6c1d9196,NM,0.005,2020-01-01T00:00:00
e893e9cd-ef5e-440a-95cb-a10b9f1ab7ef,NV,0.0073,2020-01-01T00:00:00
d9402c65-5a46-47e0-90a6-6cec1a4b5bce,NY,0.0216,2020-01-01T00:00:00
a9ffa543-ab25-4e90-b9ca-111372b3907e,OH,0.0181,2020-01-01T00:00:00
8c0805da-0f32-4cca-bc7a-5fb98b898a7a,OK,0.0277,2020-01-01T00:00:00
c682166c-c27d-4711-b250-0e250a1b8001,OR,0.0169,2020-01-01T00:00:00
93583020-eb6e-4174-a83a-03e4d53c7c51,PA,0.0159,2020-01-01T00:00:00
ee3ff4cd-2180-4f7d-8b86-141f28d79d8c,PR,0.0635,2020-01-01T00:00:00
59e2f085-7e62-469e-8fc3-ce7cf3c00605,PW,0.0909,2020-01-01T00:00:00
8a92f2a9-4119-4524-b81d-4cc1e6794264,RI,0.0639,2020-01-01T00:00:00
d8233010-cf68-435e-966d-35d8b21c4f39,SC,0.0646,2020-01-01T00:00:00
1fb7392f-ba9b-44e9-a190-1512985435d3,SD,0.0727,2020-01-01T00:00:00
fb814dac-a18b-4017-9467-3b4f25835023,TN,0.0726,2020-01-01T00:00:00
20c79da7-fd76-4c0f-ba29-e2f936ff1764,TX,0.0551,2020-01-01T00:00:00
9e64f8f0-9ac0-4a16-90c8-9f67148515fc,UT,0.0923,2020-01-01T00:00:00
e74517d6-9adc-48fb-bffc-52c1a1702fde,VA,0.0642,2020-01-01T00:00:00
282023fd-444d-4f43-8b80-79ad276dceaa,VI,0.0143,2020-01-01T00:00:00
c6f9b26c-595f-4f08-a7e8-9a4d096f0884,VT,0.0796,2020-01-01T00:00:00
a7a7413d-5a1d-484c-828d-86eb62bb82fe,WA,0.0091,2020-01-01T00:00:00
27407c4d-bd5b-4213-a8ec-cded7fb04996,WI,0.0628,2020-01-01T00:00:00
5ff66b12-58d7-453b-8258-811c3ffba403,WV,0.0841,2020-01-01T00:00:00
94929183-33fc-498f-a301-5af62075d11e,WY,0.0384,2020-01-01T00:00:00
