id,ticket_id,event_type,occurred_at,detail
df6c3642-6fd6-4fed-8d57-c525fec81667,7425f8e8-a60b-4e88-8400-f4087c2688b5,created,2026-05-18T16:37:57,
d2a096ba-6e85-4345-bf00-7e59117f7534,7425f8e8-a60b-4e88-8400-f4087c2688b5,assigned,2026-05-18T23:06:41,5ddbd80d-f370-4fa7-bd64-5eec9c2f37bc
97eb62b3-1529-4a69-b09f-540270b46b8c,7425f8e8-a60b-4e88-8400-f4087c2688b5,resolved,2026-05-19T15:28:59,
db3ce7b2-b0b8-4f2b-845c-947ef8e3c7a6,c348d631-7db8-4090-b61b-61753cef7893,created,2025-10-30T16:37:57,
bd21f24d-ee79-4a1e-8917-bedce5b3d960,c348d631-7db8-4090-b61b-61753cef7893,assigned,2025-10-30T21:02:45,90f96181-8123-4add-8fe8-938102416710
171f72a4-07a2-47b5-a106-8fa6e71a27b8,cecb6e8a-809d-4e7e-ad04-563fe2870bec,created,2025-10-21T16:37:57,
596fb5b4-74f4-4ab2-a903-c2d02093fce1,cecb6e8a-809d-4e7e-ad04-563fe2870bec,assigned,2025-10-22T00:55:56,90f96181-8123-4add-8fe8-938102416710
508c7059-2f13-49eb-9aa1-2e9ac2eb8c68,11b146d5-1b45-43e6-ae91-bafec80b27cc,created,2025-11-21T16:37:57,
bf6ab538-e8bf-475a-97f5-a42097e84e79,11b146d5-1b45-43e6-ae91-bafec80b27cc,assigned,2025-11-21T17:53:34,febe248a-e430-40d5-84d7-fc06d8b408dc
c1b1ccb5-2265-42f2-a656-f8242d86e035,11b146d5-1b45-43e6-ae91-bafec80b27cc,resolved,2025-11-24T03:29:23,
fd9dacf7-d766-4d0e-a810-45711144a017,cdab48fe-3c82-465a-a266-dc1e175a242d,created,2026-06-16T16:37:57,
fe2ef946-c971-4a3c-837f-a796a2c57f47,cdab48fe-3c82-465a-a266-dc1e175a242d,assigned,2026-06-16T20:13:07,5ddbd80d-f370-4fa7-bd64-5eec9c2f37bc
edb214a8-b49f-48cc-a0ae-de4bd3a3791e,cdab48fe-3c82-465a-a266-dc1e175a242d,resolved,2026-06-18T05:31:32,
273d999c-9fc3-4116-90a0-12c82fd9556e,4335456e-b768-4112-b9ae-b140f815359a,created,2026-03-15T16:37:57,
cc693fce-39ba-443e-abe0-1930c1658b3e,695e7d3f-b91b-4210-b75c-d66d15dd4a0a,created,2026-04-28T16:37:57,
ceb2ced7-b448-4009-bba9-a62da897d14e,695e7d3f-b91b-4210-b75c-d66d15dd4a0a,assigned,2026-04-28T18:00:25,8ae11eaa-8f00-40e3-b3e3-b30d399db61c
559c58d1-b901-4368-93e0-79e1866b2c6e,695e7d3f-b91b-4210-b75c-d66d15dd4a0a,resolved,2026-04-30T00:42:13,
fdd9614d-e4aa-4028-bc36-193d95d72262,91faf1c8-8cdb-4bec-aacf-05edeeb5c2eb,created,2026-02-07T16:37:57,
672f39ac-baf7-4a66-93e7-6873512e22b3,91faf1c8-8cdb-4bec-aacf-05edeeb5c2eb,assigned,2026-02-08T00:58:08,d8626458-40a4-4749-8828-09916a7365e6
